"","Year","AddressAssessorMunicipalityDesc","TaxClassCode","rate","predict_rate"
"1",2020,"Anmore","01",3.0543,0.982091177915219
"2",2020,"Anmore","06",6.8042,9.90570644176613
"3",2020,"Belcarra","01",2.84418,1.19171522209303
"4",2020,"Belcarra","06",8.26792,12.3097554516592
"5",2020,"Bowen Island","01",3.47305,1.62643055088219
"6",2020,"Bowen Island","05",14.69778,14.6916238414248
"7",2020,"Bowen Island","06",7.54735,11.1524571446013
"8",2020,"Burnaby","01",2.8411,-2.75807436884319
"9",2020,"Burnaby","05",10.3229,12.8023354413034
"10",2020,"Burnaby","06",10.0987,10.8833424681554
"11",2020,"Coquitlam","01",3.3929,1.71816047088174
"12",2020,"Coquitlam","05",13.2865,17.7028920764973
"13",2020,"Coquitlam","06",12.0268,12.8424853445801
"14",2020,"Delta","01",3.83772104072398,5.50014345283406
"15",2020,"Delta","05",12.0911842507645,12.976964811466
"16",2020,"Delta","06",12.0906611729019,13.6507012995647
"17",2020,"Langley - City","01",3.8089,1.72929092925564
"18",2020,"Langley - City","05",11.9418,15.1238791328853
"19",2020,"Langley - City","06",11.8916,12.2529603889671
"20",2020,"Langley - Township","01",3.58111,3.768555314647
"21",2020,"Langley - Township","05",11.35476,12.4593902031284
"22",2020,"Langley - Township","06",12.38966,12.4904122875828
"23",2020,"Lions Bay","01",2.9491,2.19256169448714
"24",2020,"Lions Bay","06",10.1207,11.6560667171437
"25",2020,"Maple Ridge","01",4.4109,5.1082119798094
"26",2020,"Maple Ridge","05",13.9186,16.8825907223275
"27",2020,"Maple Ridge","06",13.6912,13.5967071733295
"28",2020,"New Westminster","01",3.9304,4.65007744416601
"29",2020,"New Westminster","05",16.3982,18.0378683304221
"30",2020,"New Westminster","06",14.2158,15.7766131017241
"31",2020,"North Vancouver - City","01",2.95925,-2.1726686835647
"32",2020,"North Vancouver - City","05",10.26387,15.5060465430073
"33",2020,"North Vancouver - City","06",10.03666,11.9006254793041
"34",2020,"North Vancouver - Dist","01",2.9269,1.28803655289928
"35",2020,"North Vancouver - Dist","05",12.07207,13.6812469008488
"36",2020,"North Vancouver - Dist","06",9.37931,11.8173967322238
"37",2020,"Pitt Meadows","01",4.2132,6.05672114793384
"38",2020,"Pitt Meadows","05",18.0331,17.000034870342
"39",2020,"Pitt Meadows","06",13.3676,13.7806675075935
"40",2020,"Port Coquitlam","01",3.7707,4.90652635553054
"41",2020,"Port Coquitlam","05",13.7099,17.5841377688781
"42",2020,"Port Coquitlam","06",12.6559,14.5028356119117
"43",2020,"Port Moody","01",3.8099,4.16096161675994
"44",2020,"Port Moody","05",17.7261,17.6611705749771
"45",2020,"Port Moody","06",10.4579,13.4425727145592
"46",2020,"Richmond","01",2.90614,1.14108272436315
"47",2020,"Richmond","05",9.24436,10.4240559771785
"48",2020,"Richmond","06",9.01912,10.2920410874854
"49",2020,"Surrey","01",3.19493,0.823717044024987
"50",2020,"Surrey","05",9.60094,12.4673286318758
"51",2020,"Surrey","06",10.2118,10.5291850268199
"52",2020,"Vancouver","01",2.56116,2.69440916213686
"53",2020,"Vancouver","05",10.60885,12.3765047510064
"54",2020,"Vancouver","06",9.32931,8.78885431699177
"55",2020,"West Vancouver","01",2.51976,4.91880768155041
"56",2020,"West Vancouver","05",24.49337,17.0517209070448
"57",2020,"West Vancouver","06",7.7005,12.6183388657379
"58",2020,"White Rock","01",3.74212,1.88024735085511
"59",2020,"White Rock","05",4.8337,16.333171780708
"60",2020,"White Rock","06",10.04928,12.1682868660874
